"search-number","evaluation","initial-fruit-bushes*","initial-foragers*","bush-growth-chance*","ticks-to-flee*","max-age*","collaboration-bonus*","rate-of-mutation*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","10","29","34","64","50","137","1.0278858625162128","7.1000000000000005","10","627172.6302961522","1","543629"
"1","20","32","64","62","98","118","3.7414847028305487","8.5","10","1221275.0337308866","1","1178540.4377065694"
"1","50","30","74","50","96","258","2.5737392233157856","6.4","10","1285365.507125382","1","1223148.207408255"
"1","100","23","96","48","55","318","3.8841443503471433","6.1000000000000005","10","1649117.6418927242","1","1578736.066965235"
