"search-number","evaluation","evals-requested-so-far","initial-fruit-bushes*","initial-foragers*","bush-growth-chance*","ticks-to-flee*","max-age*","collaboration-bonus*","rate-of-mutation*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","160","29","34","64","50","137","1.0278858625162128","7.1000000000000005","""420635086""","3109","11485.608354950282","6048.7127765792175","2857.2012169500053","11485.608354950282"
"1","2","160","29","34","64","50","137","1.0278858625162128","7.1000000000000005","""2074366701""","2937","9766.847762645915","5314.121397888818","2156.2962363735287","9766.847762645915"
"1","3","160","29","34","64","50","137","1.0278858625162128","7.1000000000000005","""1385138782""","3354","12343.639105058366","7140.314770582123","3049.0162190435235","12343.639105058366"
"1","4","160","29","34","64","50","137","1.0278858625162128","7.1000000000000005","""1364252490""","3022","11785.550583657587","6585.29385458001","3282.01521335824","11785.550583657587"
"1","5","160","29","34","64","50","137","1.0278858625162128","7.1000000000000005","""72132952""","3178","10670.167369217468","5579.638796321267","2321.562707363127","10670.167369217468"
"1","6","160","29","34","64","50","137","1.0278858625162128","7.1000000000000005","""-1133167388""","3065","12239.35635538262","6167.093009592783","3148.1131294994925","12239.35635538262"
"1","7","160","29","34","64","50","137","1.0278858625162128","7.1000000000000005","""1053407247""","3334","14168.514051015996","7425.045867524496","3792.5298484008986","14168.514051015996"
"1","8","160","29","34","64","50","137","1.0278858625162128","7.1000000000000005","""-766584806""","3227","12866.723086900129","6584.105795161221","3104.4808715982904","12866.723086900129"
"1","9","160","29","34","64","50","137","1.0278858625162128","7.1000000000000005","""-661090520""","3324","12398.479896238652","6476.271676875858","2897.1074241636543","12398.479896238652"
"1","10","160","29","34","64","50","137","1.0278858625162128","7.1000000000000005","""1887518390""","3211","8183.964656290532","4775.702084216199","1463.7889720297544","8183.964656290532"
"1","11","160","32","64","62","98","118","3.7414847028305487","8.5","""-501525314""","5963","20434.305676356147","10964.913744601747","4860.584999064957","20434.305676356147"
"1","12","160","32","64","62","98","118","3.7414847028305487","8.5","""-1117675399""","5599","22658.5440779736","11467.206665480697","5329.503345157195","22658.5440779736"
"1","13","160","32","64","62","98","118","3.7414847028305487","8.5","""1334379364""","5849.44541466392","16873.3135060146","12131.182711656602","4173.713529540803","16873.3135060146"
"1","14","160","32","64","62","98","118","3.7414847028305487","8.5","""-2142301439""","5874","24514.27421149004","11717.18884754348","6379.190724728505","24514.27421149004"
"1","15","160","32","64","62","98","118","3.7414847028305487","8.5","""288659144""","5299","22533.17629121843","12411.698884154814","6643.038726333784","21669.07629668625"
"1","16","160","32","64","62","98","118","3.7414847028305487","8.5","""215474623""","6083","22162.281206225678","10265.312402132638","4928.56359677177","22162.281206225678"
"1","17","160","32","64","62","98","118","3.7414847028305487","8.5","""-1748563687""","6124","28361.93601978587","16022.992477478727","7860.828352929843","28361.93601978587"
"1","18","160","32","64","62","98","118","3.7414847028305487","8.5","""-1785194560""","5922","19600.51788204776","9367.666795099287","4128.436618235575","19600.51788204776"
"1","19","160","32","64","62","98","118","3.7414847028305487","8.5","""1910927638""","5677","19555.894306350296","11878.283702735116","4644.161941355528","18924.020944787775"
"1","20","160","32","64","62","98","118","3.7414847028305487","8.5","""990958054""","6101","27240.635848605067","14691.873940491832","6859.677846426325","27240.635848605067"
"1","21","160","39","33","5","56","160","4.420314335851073","9.1","""-429596001""","2555","6790","4077.5148514851485","1396.056521877688","6508"
"1","22","160","39","33","5","56","160","4.420314335851073","9.1","""120469142""","2968","10670.046636148625","4769.093493658819","2078.411347270223","10670.046636148625"
"1","23","160","39","33","5","56","160","4.420314335851073","9.1","""36962508""","3072","11433.837911039902","6942.258798865698","3361.0491768381694","11433.837911039902"
"1","24","160","39","33","5","56","160","4.420314335851073","9.1","""362612215""","3138","10737.787382314795","7408.00153782235","2802.1565273737583","10737.787382314795"
"1","25","160","39","33","5","56","160","4.420314335851073","9.1","""-1239105927""","3171","7932.932726024264","5220.620357061112","1286.966508058332","7375.540981155109"
"1","26","160","39","33","5","56","160","4.420314335851073","9.1","""-959548125""","3127","6666.031433585107","4322.717416205685","1232.2386562474658","6666.031433585107"
"1","27","160","39","33","5","56","160","4.420314335851073","9.1","""673319025""","3171","11257.687756923782","6370.173783935279","2611.9584037337922","11257.687756923782"
"1","28","160","39","33","5","56","160","4.420314335851073","9.1","""990768189""","3050","9932.764260064596","4876.147639878774","1871.6466130028475","9932.764260064596"
"1","29","160","39","33","5","56","160","4.420314335851073","9.1","""1680744575""","3061","12480.926226443884","6384.025141859803","3197.823965992939","12096.449801632716"
"1","30","160","39","33","5","56","160","4.420314335851073","9.1","""1410176642""","2973","8774.09183426159","4970.529905395322","2194.8253355965226","8774.09183426159"
"1","31","160","11","87","34","60","363","3.6861554894331277","8.1","""686783803""","7345","16245.570253808402","10826.035488843925","2841.2074885753755","16245.570253808402"
"1","32","160","11","87","34","60","363","3.6861554894331277","8.1","""17808772""","7525","12805.88916100811","9593.482307798637","1549.1839049418354","12805.88916100811"
"1","33","160","11","87","34","60","363","3.6861554894331277","8.1","""1662376525""","7987","28051.429355560645","16113.99965034178","7244.437878963335","28051.429355560645"
"1","34","160","11","87","34","60","363","3.6861554894331277","8.1","""-1245319276""","6950","21550.308295567258","11411.536843565566","4531.7912922861515","21550.308295567258"
"1","35","160","11","87","34","60","363","3.6861554894331277","8.1","""-847570467""","6848","10864.738575824626","8752.235704031373","1413.354429633516","10864.738575824626"
"1","36","160","11","87","34","60","363","3.6861554894331277","8.1","""1093111494""","8048.841560234989","19784.67965997813","13035.215550428939","3457.5971463995566","19784.67965997813"
"1","37","160","11","87","34","60","363","3.6861554894331277","8.1","""313155208""","7709","17056.566951756064","11797.763316715858","3392.669686231008","16374.078005264364"
"1","38","160","11","87","34","60","363","3.6861554894331277","8.1","""1152945877""","6727","13378.309109636071","9082.759300275642","2001.1045891278955","13378.309109636071"
"1","39","160","11","87","34","60","363","3.6861554894331277","8.1","""-1347172240""","7808.243237964447","19405.63544970518","13122.486501366895","4056.5942880657644","19207.32945977613"
"1","40","160","11","87","34","60","363","3.6861554894331277","8.1","""-1912029283""","7336","13380.513960479135","10567.405599101678","2417.531538319726","13380.513960479135"
"1","41","160","30","74","50","96","258","2.5737392233157856","6.4","""1560242448""","6771","21909.55405508507","13441.013751626931","5655.065784951833","21260.99794003204"
"1","42","160","30","74","50","96","258","2.5737392233157856","6.4","""-557615929""","6685","21778.269860525277","11616.863967161522","4695.577392000896","21778.269860525277"
"1","43","160","30","74","50","96","258","2.5737392233157856","6.4","""-832034661""","7247","27498.18959334707","15777.240242724201","7622.649057972415","27347.407949950408"
"1","44","160","30","74","50","96","258","2.5737392233157856","6.4","""-906072680""","7039","21992.687647821775","14148.290349726212","5516.387554355979","21992.687647821775"
"1","45","160","30","74","50","96","258","2.5737392233157856","6.4","""-1903841853""","6847","18143.75020981155","11113.31732797908","3829.5866654114798","17575.584649423974"
"1","46","160","30","74","50","96","258","2.5737392233157856","6.4","""-171706521""","6727","22751.220415844677","13636.134208370975","5708.986226083308","22751.220415844677"
"1","47","160","30","74","50","96","258","2.5737392233157856","6.4","""-1280925309""","6888","24812.435428905676","14047.950910266125","6098.848693747072","24812.435428905676"
"1","48","160","30","74","50","96","258","2.5737392233157856","6.4","""2131829460""","6966","18671.581940947588","11086.477802655516","4253.326387362426","18368.581940947584"
"1","49","160","30","74","50","96","258","2.5737392233157856","6.4","""-1634544957""","6742","22425.297970550087","11889.020397233138","5162.709537573929","22425.297970550087"
"1","50","160","30","74","50","96","258","2.5737392233157856","6.4","""-438962478""","6574","19068.680361638817","10507.602638828774","3811.4818148496083","19068.680361638817"
"1","51","160","10","58","93","79","33","2.504577706569009","6.9","""1689880265""","0","5800","1756.029702970297","2481.3765996133934","0"
"1","52","160","10","58","93","79","33","2.504577706569009","6.9","""-357895864""","0","5800","1726.980198019802","2443.2013915361053","0"
"1","53","160","10","58","93","79","33","2.504577706569009","6.9","""103917811""","0","5800","1779.118811881188","2512.8122344780522","0"
"1","54","160","10","58","93","79","33","2.504577706569009","6.9","""-956479751""","0","5800","1730.019801980198","2446.3910479733127","0"
"1","55","160","10","58","93","79","33","2.504577706569009","6.9","""-2032923831""","0","5888.565575646601","1770.640358828741","2504.955671477938","0"
"1","56","160","10","58","93","79","33","2.504577706569009","6.9","""-1859222483""","0","5800","1785.7326732673268","2521.1009416169363","0"
"1","57","160","10","58","93","79","33","2.504577706569009","6.9","""-2041309743""","0","5800","1736.9405940594058","2456.8290043134143","0"
"1","58","160","10","58","93","79","33","2.504577706569009","6.9","""-1801254450""","0","6522.737468528268","1966.5094636151643","2779.4584173164976","0"
"1","59","160","10","58","93","79","33","2.504577706569009","6.9","""-1376278744""","0","5800","1796.7425742574258","2536.89029188676","0"
"1","60","160","10","58","93","79","33","2.504577706569009","6.9","""1565682918""","0","5800","1762.009900990099","2489.1260936121744","0"
"1","61","160","8","45","34","79","106","0.1754421301594568","3.6","""-666850932""","3981","7821.413638513771","5307.734604938634","1303.3439775024895","7821.413638513771"
"1","62","160","8","45","34","79","106","0.1754421301594568","3.6","""-1236065075""","4050.885657028051","5571.223633173114","4578.703879210998","376.3383796564841","5571.223633173114"
